district,date,N,P,K,pH,OC,EC,Zn,Fe,Cu,Mn,Soil_Moisture,Water_pH,Water_EC,TDS,Salinity,Hardness,Temperature,Rainfall,Humidity,Wind_Speed,Solar_Radiation,Crop,Soil_Type,Will_Grow,season
Simdega,2023-05-10,140,15,121,6.21,1.15,1.22,1.8,15.54,4.1,19.95,30.51,6.1,1.8,242.4,1.36,315.3,31.3,24.7,20.8,12.1,115.7,Maize,Loamy,0,Zaid
West Singhbhum,2023-05-11,379,55,279,4.62,1.24,1.53,0.71,8.64,1.39,14.3,17.53,8.5,2.76,303.3,1.08,159.3,35.4,0.2,35.9,7.5,243.4,Vegetables,Sandy,0,Zaid
West Singhbhum,2023-05-12,216,53,292,8.27,2.35,0.69,1.48,11.22,1.76,4.46,35.09,7.61,2.79,101,2.22,137.6,31.3,196.1,45.1,6.5,200.9,Maize,Alluvial,0,Zaid
Dhanbad,2023-05-13,328,54,122,5.03,0.53,1.1,4.51,17.39,3,8.4,19.37,7.92,2.12,266.7,2.13,169.9,35.4,96.3,83.5,7.6,68,Millets,Red Lateritic,0,Zaid
Hazaribagh,2023-05-14,335,14,314,8.35,0.57,0.86,1.06,13.66,0.54,10.45,31.97,7.49,2.43,492.8,0.98,277.4,31.5,13.7,87.9,3.3,192,Pulses,Alluvial,0,Zaid
Khunti,2023-05-15,230,6,510,5.38,1.94,0.54,1.73,16.78,3.95,13.31,32.4,6.94,1.59,124.2,1.45,85.5,28,21.1,24.4,12.5,183.3,Vegetables,Black,0,Zaid
West Singhbhum,2023-05-16,59,57,421,4.96,2.11,0.53,0.47,1.13,2.63,10.84,37.84,6.75,0.73,488.4,1.75,380,11.6,185.1,73.3,3.5,184.9,Vegetables,Sandy,0,Zaid
Dhanbad,2023-05-17,316,25,161,7.8,0.99,1.18,3.17,8.34,4.28,14.94,22.58,6.36,0.4,166.6,2.02,351.8,30.2,144.3,49.7,5,110.9,Vegetables,Alluvial,0,Zaid
Dhanbad,2023-05-18,343,15,129,8.17,2.1,0.74,3.59,3.21,0.32,6.66,34.37,6.78,0.32,388.1,0.84,158.2,23.4,132.8,72.7,3.6,218.5,Vegetables,Alluvial,0,Zaid
East Singhbhum,2023-05-19,368,29,361,5.93,2.09,0.26,2.91,6.83,3.26,8.96,14.42,5.61,2.33,373.8,2.18,74.1,19.8,15.2,49.3,1.2,188,Millets,Sandy,0,Zaid
Bokaro,2023-05-20,306,55,325,6.28,2.49,0.25,3.77,16.4,1.76,16.97,18.32,6.01,2.46,197.9,2.27,335,28.3,12.7,59.2,8.7,51.3,Wheat,Sandy,0,Zaid
Garhwa,2023-05-21,270,21,144,6.75,1.55,0.5,1.02,11.27,2,3.89,13.46,5.52,2.09,198.3,0.23,138.3,12.3,59.2,94,0.7,238,Vegetables,Sandy,0,Zaid
Hazaribagh,2023-05-22,267,24,91,8.32,1.47,0.21,1.71,5.07,1.08,14.92,10.66,8.49,0.84,75.9,0.74,281.1,17.7,157.2,28.7,2.6,90.4,Maize,Alluvial,0,Zaid
Khunti,2023-05-23,67,24,361,6.79,2.07,1.31,0.64,19.22,3.08,4.08,35.16,7.75,2.96,486.3,0.08,314.5,19.7,128.9,89.1,13.8,79.4,Maize,Loamy,0,Zaid
Lohardaga,2023-05-24,343,29,183,6.08,0.55,1.06,2.69,17.96,4.1,11.24,33.42,6.06,2.58,216.9,1.36,265.8,29.3,188,71,12.6,137.8,Rice,Loamy,0,Zaid
Chatra,2023-05-25,146,47,327,6.33,1.69,0.44,3.59,19.19,3.71,10.45,21.35,5.69,0.25,267,0.36,213.1,21.4,21.9,42,9.5,216.1,Millets,Sandy,0,Zaid
Giridih,2023-05-26,74,7,323,5.32,1.65,1.56,0.92,14.65,3.38,12.32,30.54,6.98,1.06,144.9,0.27,283.3,33.4,107.4,93.1,13.4,153.5,Maize,Sandy,0,Zaid
Gumla,2023-05-27,82,16,460,7.11,0.61,0.69,1.95,14.67,2.67,11.47,35.44,7.19,0.39,487.9,1.89,105.2,19.9,177.4,62.2,14.6,132.5,Wheat,Sandy,0,Zaid
Khunti,2023-05-28,73,10,489,8.25,0.61,1.57,4.34,17.58,4.54,11.54,10.56,7.47,2.56,266.5,1.3,155.7,12.7,175,29.1,7.1,211.3,Vegetables,Alluvial,0,Zaid
Ramgarh,2023-05-29,114,21,469,8.08,0.23,1.27,4.97,11.58,4.37,9.7,28.5,7.02,0.93,431.4,1.37,137.1,17.8,173.2,81,3.7,108.8,Wheat,Alluvial,0,Zaid
Chatra,2023-05-30,290,59,530,7.28,0.53,1.27,1.21,9.93,2.05,12.58,30.86,7.03,1.86,311.8,0.51,285,27.4,17.7,24.2,6.3,190.5,Pulses,Black,0,Zaid
Gumla,2023-05-31,357,44,330,7.24,1.99,1.21,3.29,18.65,4.44,17.18,21.26,6.85,1.82,154.5,1.24,394.7,34.5,164.4,63.4,11.6,246.4,Wheat,Sandy,0,Zaid
Ranchi,2023-06-01,167,12,228,7.43,0.92,0.45,3.3,19.05,3.18,19.56,13.03,5.91,1.73,367.4,2.39,320.3,18.3,161.4,35,9.5,55.3,Maize,Sandy,0,Kharif
Dhanbad,2023-06-02,152,39,251,6.36,2.41,0.42,3.24,8.87,3.3,12.49,30.46,8.08,2.49,71.7,0.32,239.6,24.5,87.8,76.3,1.2,55.1,Pulses,Loamy,1,Kharif
Godda,2023-06-03,278,12,486,7.24,1.76,0.27,3.34,6.38,2.25,2.13,31.08,7.93,1.25,164.5,0.58,266.6,17.3,198.9,63.8,11.2,124.5,Vegetables,Sandy,0,Kharif
Godda,2023-06-04,267,6,504,4.71,1.81,1.77,0.83,2.59,2.96,12.53,38.43,8.42,0.32,477.9,1.45,354.2,15,192.9,20.6,3.9,224.9,Rice,Black,0,Kharif
Khunti,2023-06-05,267,42,210,7.46,0.79,1.04,0.91,4.03,2.69,11.87,22.91,7.55,0.48,82.2,1.93,285.3,13.6,67.4,42.2,10.5,98.1,Pulses,Sandy,0,Kharif
Dumka,2023-06-06,135,8,514,7.36,0.7,1.24,2.2,14.91,1.46,2.1,17.83,6.85,0.18,428.3,1.81,145.6,18.3,179.9,69.3,13.6,89.9,Pulses,Black,0,Kharif
East Singhbhum,2023-06-07,251,50,337,5.91,2.3,0.92,3.84,11.35,2.43,2.84,15.37,7.66,2.16,94,1.13,238.6,35.7,189.4,36.3,5.9,115.1,Rice,Sandy,0,Kharif
Jamtara,2023-06-08,81,37,212,7.25,2.36,0.91,1.28,18.14,2.42,2.66,30.97,7.92,0.82,157.1,0.64,73.1,13.5,70.8,53,12.8,216.6,Wheat,Sandy,0,Kharif
Gumla,2023-06-09,389,38,333,4.9,0.67,0.29,4.81,17.15,0.28,5.5,20.3,5.74,2.35,372.8,1.53,222.4,13.1,157.7,53.8,12.1,188.3,Wheat,Red Lateritic,0,Kharif
Godda,2023-06-10,204,26,446,8.49,0.55,1.61,0.28,7.44,1.3,8.36,33.58,5.9,0.44,339.6,0.01,56.4,30.2,16.8,94.2,0.4,136.4,Wheat,Alluvial,0,Kharif
Simdega,2023-06-11,237,29,380,7.47,0.89,0.23,3.73,14.86,3.21,14.78,23.84,5.9,0.19,290.1,0.35,375.4,18.3,154,60.4,11.3,200,Rice,Sandy,0,Kharif
Ranchi,2023-06-12,138,31,529,6.07,1.87,1.51,4.78,15.14,3.8,4.61,29.04,6.43,2.17,55.6,2.13,271.3,33.6,176.6,97.3,4.6,77,Rice,Black,0,Kharif
Khunti,2023-06-13,138,14,115,4.62,1.77,1.86,3.31,8.89,0.64,13.56,36,5.78,0.84,371.9,2.14,85.4,34.3,97.4,64.3,7.2,239.3,Pulses,Sandy,0,Kharif
Bokaro,2023-06-14,192,51,593,4.99,0.53,1.05,1.79,17.76,0.9,4.18,16.84,5.98,0.15,333.4,0.84,189,34.6,5.6,82.8,5.7,122.5,Millets,Red Lateritic,0,Kharif
Dhanbad,2023-06-15,146,18,75,7.12,2.11,0.96,1.23,9.76,1.16,15.76,22.31,6.95,1.33,278,2.31,63.9,10.2,117.8,94.8,1.7,134.4,Maize,Sandy,0,Kharif
Dhanbad,2023-06-16,161,13,155,5.76,0.46,1.05,4.62,8.46,1.59,8.29,24.88,7.06,1.11,453.9,2.08,91.4,16.4,143.7,77.8,11.9,66.9,Maize,Red Lateritic,0,Kharif
Deoghar,2023-06-17,269,45,459,6.43,2.45,0.69,3.69,1.71,1.07,11.33,19.63,8.27,2.9,253.8,0.98,240.6,21.7,160.9,86.2,13.4,59,Vegetables,Sandy,0,Kharif
Hazaribagh,2023-06-18,177,45,137,6.01,0.85,0.21,2.87,16.65,3.63,3.93,29.47,7.28,0.79,358.2,1.82,190.8,36.5,69.9,38.9,6.8,130.3,Millets,Sandy,0,Kharif
Bokaro,2023-06-19,390,24,400,7.92,1.86,1.86,0.25,14.48,0.21,4.99,19.56,7.18,1.5,263.9,1.59,106.7,35,97.2,63.1,11.8,241.5,Vegetables,Alluvial,0,Kharif
East Singhbhum,2023-06-20,382,45,575,7.37,0.54,0.78,2.15,8.84,1.13,2.87,37.52,6.99,0.59,354,1.25,384.4,26.1,72.6,88.4,8.3,242.1,Vegetables,Black,0,Kharif
Godda,2023-06-21,169,60,292,7.98,0.72,1.72,3.26,5.69,4.9,17.89,33.7,7.76,0.36,411.7,0.9,245.9,22.4,5.1,49.5,6.2,77.2,Wheat,Alluvial,0,Kharif
Gumla,2023-06-22,103,34,425,7.1,0.22,1.09,3.55,10.03,2.57,14.49,32.81,5.88,2.97,302.2,1.97,263.1,30.2,22.3,26.6,2.6,137.3,Vegetables,Sandy,0,Kharif
Pakur,2023-06-23,68,23,590,5.29,0.2,1.39,4.4,4.77,3.72,14.05,14.86,8.24,2.97,483.4,1.31,257.3,38.5,76,38.2,11.1,220.7,Millets,Red Lateritic,0,Kharif
Palamu,2023-06-24,224,58,323,7.01,2.17,0.76,2.14,1.7,1.43,18.11,29.97,7.1,2.6,453.9,0.35,270.2,33.9,199,60.8,1.8,156.4,Pulses,Sandy,0,Kharif
Dumka,2023-06-25,246,6,436,4.99,1.79,1.75,1.84,14.99,1.33,3.64,33.56,7.97,1.09,134.9,1.71,217.7,28,6.3,33.2,13.4,167.6,Rice,Sandy,0,Kharif
West Singhbhum,2023-06-26,256,36,406,7.53,1.92,0.22,0.15,9.78,0.35,9.63,19.36,6.76,0.92,237.2,0.33,219.9,20,46.8,26.4,13.5,114.9,Wheat,Alluvial,0,Kharif
Palamu,2023-06-27,368,31,560,5.97,2.13,0.34,2.43,16.29,3.84,17.45,20.6,6.36,2.81,451.6,0.29,182.7,37.2,90.7,28.9,0.2,93.6,Millets,Black,0,Kharif
East Singhbhum,2023-06-28,393,7,90,6.27,2.31,1.11,4,5.67,1.29,19.2,32.75,8.47,2.01,212.6,0.83,246.2,25.8,73.4,32.9,1.8,121.2,Maize,Loamy,0,Kharif
Bokaro,2023-06-29,330,12,211,5.74,1.65,0.93,0.2,16.33,0.37,11.28,14.66,6.87,1.14,142.9,1.13,240.3,12.9,93,78.8,5,123.4,Millets,Sandy,0,Kharif
Ramgarh,2023-06-30,240,53,406,4.75,1.81,1.56,3.46,11.18,1.6,1.79,24.3,7.02,0.58,471.7,1.16,291.9,16.6,93.1,44.1,12.9,211.6,Millets,Sandy,0,Kharif
Sahebganj,2023-07-01,214,20,62,7.8,0.66,0.34,0.83,14.96,2.53,7.83,14.46,6.03,1.39,83.5,1.06,118.5,30.7,109.5,97.8,11,103.1,Rice,Alluvial,0,Kharif
Gumla,2023-07-02,110,52,70,5.54,2.22,0.35,2.22,12.77,0.1,19.29,10.07,7.37,1.69,161.5,2.39,386.7,12.1,132.3,64.3,13.7,86,Rice,Sandy,0,Kharif
East Singhbhum,2023-07-03,128,26,323,4.77,2.45,1.86,1.59,4.79,1.3,4.04,22.05,5.85,1.5,66.5,0.79,166.5,28.1,41.5,41.4,6.7,170.8,Millets,Sandy,0,Kharif
Gumla,2023-07-04,105,39,253,4.53,2.17,0.15,3.48,2.87,1.3,13.56,37.68,6.81,2.44,195.4,1.97,287,30.1,53,30,7.2,78.9,Maize,Sandy,0,Kharif
Lohardaga,2023-07-05,159,24,94,6.75,0.25,1.36,3.08,17.12,3.46,10.78,14.39,7.53,1.07,297.3,0.39,111.7,36.9,89.9,28.1,3,187.6,Wheat,Sandy,0,Kharif
Sahebganj,2023-07-06,213,26,102,7.76,1.46,1.72,2.71,2.44,1.55,1.03,31.89,7.56,1.4,289.5,1.58,390.5,36.2,49.8,56.7,3.2,236.5,Millets,Alluvial,0,Kharif
Dumka,2023-07-07,102,27,207,7.91,0.25,0.34,0.19,5.37,1.95,10.2,26.15,7.84,0.94,355.4,1.28,296.8,23.3,18.7,67.6,11.2,189.9,Wheat,Alluvial,0,Kharif
Palamu,2023-07-08,216,50,545,5.68,1.37,0.52,2.42,6.39,2.33,12.18,16.45,6.42,2.92,398.1,1.24,296.7,26.7,121.8,76.2,10.1,210,Pulses,Black,0,Kharif
Bokaro,2023-07-09,163,60,574,5.11,0.7,1.52,3.69,11.21,4.87,13.75,14.14,6.78,0.22,150.9,2.03,270,34.1,157.3,31.4,4,155.1,Pulses,Red Lateritic,0,Kharif
Garhwa,2023-07-10,116,37,386,7.37,1.34,0.43,0.28,15.77,0.24,7.64,13.35,6.99,0.63,271.9,0.52,311.2,29.1,193,87.3,6.8,88.9,Maize,Sandy,0,Kharif
Pakur,2023-07-11,221,22,495,4.87,1.56,0.69,1.19,10.52,3.64,18.6,38.26,8.03,1.92,269.7,1.75,322.3,30.4,73.1,26.6,9.3,172.4,Rice,Sandy,0,Kharif
Dumka,2023-07-12,315,40,265,7.8,1.14,0.48,1.81,8.41,2.37,16.88,28.33,8.36,1.85,388.7,1.03,345.5,17.3,56.8,47.4,11.6,210.2,Wheat,Alluvial,0,Kharif
Palamu,2023-07-13,361,31,326,8.08,2.39,1.85,1.1,12.56,4.55,10.2,32.55,8.21,1.98,63.2,1.08,239.9,22.8,34,39.7,12.7,195.9,Millets,Alluvial,0,Kharif
Palamu,2023-07-14,217,20,208,5.41,2.11,1.01,3.01,10.63,3.75,9.91,20.66,6.76,0.81,427.7,1.21,206.2,11.2,140.8,52.4,7.9,179.6,Pulses,Sandy,0,Kharif
Lohardaga,2023-07-15,336,48,571,5.96,0.85,0.97,3.57,7.95,3.4,16.52,11.86,7.77,2.82,261.5,0.27,121.1,12.2,191.2,67.2,4.4,62.3,Vegetables,Red Lateritic,0,Kharif
Pakur,2023-07-16,158,30,154,8.23,1.93,1.78,0.45,11.84,1.12,9.69,20.13,7.05,0.3,60.7,1.21,293.1,20.7,8.5,64.4,2.1,171.7,Vegetables,Alluvial,0,Kharif
Giridih,2023-07-17,282,40,86,7.51,1.61,0.79,4.27,1.97,3.78,8.25,21.39,5.91,1.25,402,0.38,171.8,23,128.2,68.6,2.4,80.1,Rice,Alluvial,0,Kharif
Saraikela Kharsawan,2023-07-18,323,36,277,8.21,2.18,2,2.09,9.94,1.9,2.66,11.81,6.37,1.09,429.7,0.63,140,10.6,169.5,69.5,13.5,85.1,Maize,Alluvial,0,Kharif
Deoghar,2023-07-19,286,16,454,4.55,2.3,1.37,2.57,9.22,3.55,4.65,35.12,6.7,1.34,425.2,2.47,89.1,28.2,117.8,80.5,6.8,61.1,Pulses,Sandy,0,Kharif
Dhanbad,2023-07-20,369,51,340,7.66,0.9,1.74,3.26,16.46,2.6,5.63,25.18,7.32,2.13,152.4,0.34,247.6,21.4,135.3,95.7,11.1,210.9,Maize,Alluvial,0,Kharif
Dhanbad,2023-07-21,210,49,498,5.02,2.11,2,0.58,1.83,3.47,10.77,26.97,5.91,2.76,60.3,2.1,322.4,12.8,68.5,69.9,6.9,149.5,Vegetables,Sandy,0,Kharif
Dumka,2023-07-22,99,32,538,5.23,1.81,1.24,3.72,8.92,3.19,19.91,31.27,6.57,0.8,145.9,1.24,213,17.7,180.4,48.2,8.3,58.5,Maize,Black,0,Kharif
East Singhbhum,2023-07-23,364,55,531,7.44,1.73,0.18,3.54,19.38,2.21,12.31,16.89,5.76,1.9,202.3,0.46,390.8,20.6,164.7,88.3,9.8,134,Pulses,Black,0,Kharif
Chatra,2023-07-24,377,42,322,4.59,2.38,0.69,4.77,16.86,1.6,11.64,15.96,6.44,0.83,316.9,1.32,82.8,27.4,45.9,28.3,7.7,216.3,Rice,Sandy,0,Kharif
Latehar,2023-07-25,366,14,483,5.79,0.67,0.26,2.4,12.98,4.28,15.75,15.3,7.91,0.76,72.7,2.28,372.8,28,0.1,71.7,7.4,197.6,Millets,Red Lateritic,0,Kharif
Jamtara,2023-07-26,101,22,380,7.74,1.6,1.55,0.72,3.99,2.97,16.75,28.5,6.46,0.67,153.7,1.66,296.7,25.9,91.2,76.6,1.1,51.1,Pulses,Alluvial,0,Kharif
Ranchi,2023-07-27,291,55,122,8.44,2.27,1.74,4.3,6.83,3.16,13.8,15.66,5.81,2.77,474,1.12,374.8,20.3,119.5,76,14.8,97.7,Rice,Alluvial,0,Kharif
Latehar,2023-07-28,314,43,511,6.35,1.97,0.34,2.47,17.02,3.79,11.36,37.22,8.45,1.29,409.8,2.31,218.5,37.3,99.5,33.2,8.6,241.9,Rice,Loamy,0,Kharif
Palamu,2023-07-29,113,58,513,6.57,2.44,0.82,3.83,11.46,3.33,15.16,36.2,5.66,1.62,169.4,0.31,270.6,25.8,87.4,23.9,9.4,63.1,Millets,Loamy,0,Kharif
Jamtara,2023-07-30,212,58,202,4.91,0.87,0.8,1.59,19.65,3.5,3.94,20.44,7.74,1.64,196.4,1.46,177.5,34.1,129.7,56.2,14.7,187.9,Pulses,Red Lateritic,0,Kharif
Godda,2023-07-31,112,48,121,7.82,1.72,0.89,4.85,11.72,2.63,17.11,21.77,7.64,0.81,83,2.36,200.2,17.9,73.4,20.5,13.3,174.7,Vegetables,Alluvial,0,Kharif
Lohardaga,2023-08-01,165,29,358,5.43,2.01,0.66,3.87,18.34,1.13,2.44,13.97,7.05,1.16,201.8,1.22,104,15.7,181.6,34.2,12.6,146,Maize,Sandy,0,Kharif
Deoghar,2023-08-02,245,57,331,5.68,1.68,1.52,3.12,4.07,1,17.93,35.68,7.48,2.82,51.9,1.22,281.9,37.4,46.8,41.5,12,50.5,Maize,Sandy,0,Kharif
Saraikela Kharsawan,2023-08-03,222,5,393,4.97,0.35,1.56,2.47,7.96,1.1,18.3,38.58,6.63,1.05,173.2,0.14,171.6,24.1,37.6,82,10.8,130.6,Wheat,Red Lateritic,0,Kharif
Koderma,2023-08-04,173,57,464,5.82,0.74,0.67,0.57,17.08,0.79,11.29,39.57,7.46,0.65,492.3,1.08,176.6,27.9,128.5,64.1,10.4,221.1,Wheat,Red Lateritic,0,Kharif
East Singhbhum,2023-08-05,326,58,260,7.85,1.61,0.3,3,3.49,0.47,6.51,33.31,7.42,0.73,426.1,2.04,143.7,14.7,78,25.2,10.6,190,Vegetables,Alluvial,0,Kharif
Pakur,2023-08-06,51,13,431,8.28,1.9,0.29,4.16,8.19,0.67,12.51,23.26,5.97,2.27,342.8,0.43,144.7,27.4,149.2,76.1,8.1,106.2,Maize,Alluvial,0,Kharif
Ranchi,2023-08-07,245,7,443,5.09,1.03,0.56,4.13,17.03,1.62,15.13,32.71,6.44,1.83,52.6,2.06,125.6,15.3,40.2,65.8,14.8,106,Maize,Sandy,0,Kharif
Garhwa,2023-08-08,116,51,129,8.45,1.49,0.24,0.88,12.42,0.89,8.87,19.86,7.18,2.05,425.4,0.79,234.9,12.4,122,22.3,9.7,222.8,Wheat,Alluvial,0,Kharif
Jamtara,2023-08-09,368,49,417,4.59,1.34,0.97,1.2,7.7,1.28,1.19,10.81,5.6,2.49,196.9,2.35,347.7,33.1,139.7,40.2,8.7,106.1,Vegetables,Sandy,0,Kharif
Sahebganj,2023-08-10,397,46,461,8.24,0.52,0.11,4.72,18.27,3.8,19.7,33.13,7.36,2.44,241,1.11,206.8,32,1.6,48.4,14.6,106.7,Rice,Alluvial,0,Kharif
Giridih,2023-08-11,163,23,315,5.65,0.68,1.07,4.23,18.66,1.52,5.19,34.96,5.81,2.65,130.1,0.09,115,30.7,158.8,42.1,9.1,52.4,Maize,Red Lateritic,0,Kharif
Saraikela Kharsawan,2023-08-12,97,56,517,5.75,1.73,1.33,1.96,1.31,2.27,11.52,17.57,7.53,1.52,203.1,1.98,226.8,19.1,181.5,74.7,11.1,215.1,Maize,Black,0,Kharif
Chatra,2023-08-13,253,29,552,7.94,1.74,1.85,3.69,17.35,1.43,17.99,11.72,6.44,2.66,170.9,1.77,329.3,25.7,177.6,70,3.2,84.1,Millets,Black,0,Kharif
West Singhbhum,2023-08-14,64,11,251,7.72,1.21,0.18,2.44,17.36,0.88,1.92,34.5,8.11,2.66,409.8,1.88,138.5,27.6,104.8,92.4,4.1,229.6,Millets,Alluvial,0,Kharif
Jamtara,2023-08-15,122,11,141,6.01,1.74,0.96,2.87,6.02,4.28,14.18,22.23,5.79,1.7,214.6,0.99,323.7,15.1,115.4,71.1,13.2,177.4,Rice,Sandy,0,Kharif
Jamtara,2023-08-16,158,41,553,7.84,1.7,0.21,2.75,13.36,4.16,5.96,24.76,5.67,0.99,416,0.79,211.9,19.8,166.4,70.6,0.2,245.6,Pulses,Black,0,Kharif
Godda,2023-08-17,198,23,383,4.56,0.45,1.15,1.44,16.39,1.03,9.73,36.23,8.35,1.25,325.1,0.18,339.8,26.2,5.8,59.3,1.3,58.3,Millets,Red Lateritic,0,Kharif
Sahebganj,2023-08-18,248,45,59,5.57,2.22,0.85,3.84,16.51,1.49,11.06,24.98,7.57,1.06,178.1,2.34,356,14.2,113.1,55,10.4,173.4,Vegetables,Sandy,0,Kharif
Lohardaga,2023-08-19,148,30,516,6.69,0.21,0.36,4.41,11.95,2.56,17.58,21.96,5.98,1.54,260.3,0.28,191.7,27.9,143,52.8,1.3,190.2,Millets,Black,0,Kharif
Bokaro,2023-08-20,273,17,402,8.23,2.37,1.36,3.68,18.06,2.07,12.65,11.89,5.66,2.63,412.8,1.41,205.7,36.3,129.5,70.3,10,92.1,Wheat,Alluvial,0,Kharif
Palamu,2023-08-21,299,42,289,7.92,2.16,0.49,3.39,8.95,4.27,4.31,37.6,8.01,2.08,467.4,0.98,157.1,36.9,197.5,61.6,13,114.8,Pulses,Alluvial,0,Kharif
West Singhbhum,2023-08-22,130,17,376,5.62,1.28,0.55,1.76,6.7,3.91,13.31,18.93,6.03,2.74,261.8,2,212.6,34,119.7,64.7,7.5,193,Vegetables,Sandy,0,Kharif
Godda,2023-08-23,80,58,375,6.57,1.76,0.77,0.23,14.31,4.43,11.65,15.55,6.32,0.39,56.8,0.79,74.1,25.8,13.6,64.4,6.9,247.2,Millets,Sandy,0,Kharif
Dumka,2023-08-24,137,21,116,8.1,1.39,1.46,1.92,8.16,3.06,19.8,32.64,6.93,1.88,466.5,2.04,306.3,22.3,86.4,40.3,2.7,154.6,Pulses,Alluvial,0,Kharif
Palamu,2023-08-25,182,5,512,8.47,0.52,1.24,4.12,1.4,4.36,18.34,24.7,5.58,0.19,486.8,0.39,124.7,17.6,144.8,69.4,8.7,197,Vegetables,Black,1,Kharif
Godda,2023-08-26,267,56,229,5.34,0.86,0.81,2.95,9.89,4.33,14.11,17.36,8.49,2.81,137.7,1.3,182.2,23.3,6.1,48.7,11.9,50.5,Pulses,Red Lateritic,0,Kharif
Jamtara,2023-08-27,192,39,305,8.16,2.38,0.18,3.69,7.4,4.18,13.28,12,7.63,2.37,458.1,0.57,157.1,18.4,32.6,67.1,2.1,192,Maize,Alluvial,0,Kharif
Chatra,2023-08-28,311,7,339,5.73,0.72,1.82,3.94,14.56,0.11,2.63,14.91,5.74,2.94,462.2,0.32,141.7,12.1,118.6,29.5,6.9,167.2,Maize,Red Lateritic,0,Kharif
Khunti,2023-08-29,316,57,144,5.45,0.91,1.95,4.39,6.02,3.69,19.7,30.19,7.26,2.03,455.1,1.53,219.2,13.3,113.5,79.6,13.7,82.1,Maize,Red Lateritic,0,Kharif
Koderma,2023-08-30,365,47,583,6.19,0.85,0.73,1.08,12.99,1.86,19.84,34.15,5.7,0.78,205,1.9,70.6,11.2,59.1,91.3,1.5,125.1,Millets,Loamy,0,Kharif
Khunti,2023-08-31,290,17,153,8.18,0.68,0.62,4.46,6.9,2.29,12.95,36.19,6.38,2.48,362.8,0.31,211.1,37,60.6,75.4,13.1,67.5,Maize,Alluvial,0,Kharif
Pakur,2023-09-01,192,12,132,7.79,1.68,1.21,2.44,18.04,2.74,18.38,13.59,7.66,0.5,95.8,1.46,367.3,13.5,8.9,77.7,12.3,196.1,Millets,Alluvial,0,Kharif
Latehar,2023-09-02,69,13,240,7.81,0.66,1.46,1.48,4.76,3.56,6.24,11.12,7.37,0.81,416.1,0.49,285.2,24.3,74.3,37.1,11.5,215.2,Millets,Alluvial,0,Kharif
Chatra,2023-09-03,318,42,227,8.23,1.1,1.72,1.16,7.91,4.09,17.5,20.83,7.37,0.12,94.3,2.14,317.6,36.1,5.3,75.6,6.8,53.3,Rice,Alluvial,0,Kharif
Jamtara,2023-09-04,388,26,240,4.77,1.23,1.07,0.22,2.47,1.27,8.7,25.52,8.09,2.51,252,0.12,190.7,38.5,60,81.6,3.6,56.1,Wheat,Sandy,0,Kharif
Ranchi,2023-09-05,358,39,551,5.43,2.13,1.87,3.3,8.89,0.64,18.09,34.03,5.64,2.22,225,0.9,371,33.5,128.7,76,12.8,60.4,Rice,Black,0,Kharif
Sahebganj,2023-09-06,121,19,365,4.54,0.8,0.46,3.49,4.28,4.05,7.84,33.7,7.51,2.57,144.6,0.83,199.3,36.6,62.2,82.3,12.8,247.4,Maize,Red Lateritic,0,Kharif
Dhanbad,2023-09-07,248,20,411,7.62,0.94,1.91,0.48,9.95,0.2,10.83,19.93,7.3,1.42,328.2,2.14,389.3,17.9,98.2,97.4,3,230.4,Wheat,Alluvial,0,Kharif
Sahebganj,2023-09-08,119,19,438,4.79,0.66,1.25,4.02,3.74,3.26,2.06,18.03,7.48,2.55,178.5,0.54,230.7,18.8,156.9,45.5,8.6,244.3,Rice,Red Lateritic,0,Kharif
Jamtara,2023-09-09,324,10,229,5.31,0.2,1.28,2.63,9.59,3.29,9.04,27.68,6.26,1.45,85,1.9,354.1,20,119.6,66.3,8.1,167.9,Vegetables,Red Lateritic,0,Kharif
Godda,2023-09-10,136,57,443,6.24,0.68,0.1,4.45,5.04,2.97,2.97,10.72,5.92,0.31,452.5,1.69,293.3,17.9,113.4,36.8,3.1,117.3,Wheat,Sandy,0,Kharif
Hazaribagh,2023-09-11,221,10,442,7.55,1.97,1.35,3.63,17.54,0.68,7.57,36.61,7.54,2.85,117.8,0.5,324.5,12.2,55.7,22.2,4.7,220,Vegetables,Alluvial,0,Kharif
Lohardaga,2023-09-12,290,51,167,7.55,1.86,1.29,4.39,12.41,4.81,5.56,28.35,7.38,2.11,391.5,0.38,199.2,28.4,35.6,90.3,7.9,102,Pulses,Alluvial,0,Kharif
West Singhbhum,2023-09-13,367,55,535,5.21,2.13,0.65,2.15,1.76,1.39,12,16,6.2,2.63,98.7,0.72,325.8,19,24.4,87,8.4,77,Pulses,Black,0,Kharif
Godda,2023-09-14,277,45,245,5.16,0.96,1.77,4.44,17.74,3.73,11.02,30.29,7.55,0.96,422.2,1.78,294.5,23.6,43.6,92.4,14.8,245.7,Vegetables,Red Lateritic,0,Kharif
Koderma,2023-09-15,66,47,155,5.24,1.4,1.76,2.07,6.51,4.4,14.76,10.59,6.45,2.84,306.3,2.5,185.2,18.4,196.7,44.9,2.1,104.7,Millets,Sandy,0,Kharif
Palamu,2023-09-16,279,58,52,6.04,2.35,1.5,2.93,6.83,0.34,7.32,30.53,7.49,1.84,218.6,2.36,319.6,14.2,160.6,63.4,12.9,53.3,Maize,Loamy,0,Kharif
